,Month,Origin,DepDelay,ArrDelay,iata,airport,city,state,country,lat,long
198,3,ATW,7320.0,7743.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
199,4,ATW,4326.0,5712.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
200,5,ATW,1114.0,2527.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
201,6,ATW,6128.0,6405.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
202,7,ATW,1276.0,3239.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
203,8,ATW,1645.0,1461.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
204,9,ATW,987.0,1768.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
205,10,ATW,318.0,584.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
206,11,ATW,2189.0,1700.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
207,12,ATW,9330.0,12133.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
208,1,AUS,26593.0,32853.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
209,2,AUS,33638.0,39344.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
210,3,AUS,51801.0,53100.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
211,4,AUS,27112.0,30926.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
212,5,AUS,33996.0,39611.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
213,6,AUS,45401.0,53871.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
214,7,AUS,34364.0,41696.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
215,8,AUS,32277.0,42567.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
216,9,AUS,7745.0,74.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
217,10,AUS,11614.0,2912.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
218,11,AUS,12796.0,4346.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
219,12,AUS,45581.0,54035.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
220,1,AVL,2768.0,828.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
221,2,AVL,2608.0,2364.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
222,3,AVL,2787.0,3639.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
223,4,AVL,1463.0,2044.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
224,5,AVL,1737.0,-473.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
225,6,AVL,6700.0,6085.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
226,7,AVL,5525.0,7163.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
227,8,AVL,5227.0,6880.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
228,9,AVL,2191.0,-69.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
229,10,AVL,3902.0,1537.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
230,11,AVL,3180.0,1043.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
231,12,AVL,4957.0,4430.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
232,1,AVP,4092.0,3167.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
233,2,AVP,2951.0,3973.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
234,3,AVP,3277.0,2799.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
235,4,AVP,2172.0,3278.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
236,5,AVP,1076.0,923.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
237,6,AVP,4312.0,3430.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
238,7,AVP,3438.0,3677.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
239,8,AVP,1016.0,357.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
240,9,AVP,440.0,-296.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
241,10,AVP,639.0,-901.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
242,11,AVP,1172.0,979.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
243,12,AVP,4133.0,5958.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
244,1,AZO,5133.0,4673.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
245,2,AZO,7575.0,5882.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
246,3,AZO,2917.0,2094.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
