,Month,Origin,ArrDelay,DepDelay,iata,airport,city,state,country,lat,long
121,10,AGS,1814.0,1857.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
122,11,AGS,2108.0,1799.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
123,12,AGS,4137.0,3439.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
124,1,ALB,8776.0,10718.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
125,2,ALB,15992.0,13775.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
126,3,ALB,11263.0,10040.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
127,4,ALB,6347.0,7159.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
128,5,ALB,3466.0,5423.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
129,6,ALB,14368.0,16279.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
130,7,ALB,10965.0,14562.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
131,8,ALB,7303.0,12325.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
132,9,ALB,-1222.0,2969.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
133,10,ALB,-1776.0,3842.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
134,11,ALB,-1976.0,3148.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
135,12,ALB,21976.0,18844.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
136,1,ALO,302.0,338.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
137,2,ALO,434.0,429.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
138,3,ALO,-87.0,-70.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
139,4,ALO,46.0,-94.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
140,5,ALO,99.0,284.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
141,6,ALO,-142.0,-32.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
142,7,ALO,644.0,694.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
143,8,ALO,-27.0,88.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
144,9,ALO,61.0,2.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
145,10,ALO,-24.0,-87.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
146,11,ALO,242.0,48.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
147,12,ALO,162.0,105.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
148,1,AMA,2275.0,4408.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
149,2,AMA,4145.0,5616.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
150,3,AMA,7172.0,7958.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
151,4,AMA,2634.0,3665.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
152,5,AMA,4928.0,6203.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
153,6,AMA,6070.0,7514.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
154,7,AMA,1535.0,3493.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
155,8,AMA,3434.0,4689.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
156,9,AMA,1183.0,2698.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
157,10,AMA,3479.0,4292.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
158,11,AMA,324.0,2380.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
159,12,AMA,5349.0,6807.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
160,1,ANC,6460.0,9515.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
161,2,ANC,-854.0,4568.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
162,3,ANC,3343.0,8043.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
163,4,ANC,1719.0,7892.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
164,5,ANC,-3023.0,9093.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
165,6,ANC,5003.0,12725.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
166,7,ANC,5603.0,16193.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
167,8,ANC,13772.0,19926.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
168,9,ANC,2078.0,8059.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
169,10,ANC,6339.0,7395.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
170,11,ANC,6075.0,6919.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
171,12,ANC,18479.0,22408.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
172,1,ASE,16351.0,14668.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
173,2,ASE,12241.0,12079.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
174,3,ASE,12219.0,13011.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
175,4,ASE,2123.0,2270.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
176,5,ASE,-676.0,-136.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
177,6,ASE,1777.0,2330.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
178,7,ASE,2939.0,3402.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
179,8,ASE,3469.0,3697.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
180,9,ASE,1038.0,1287.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
181,10,ASE,120.0,352.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
182,11,ASE,-1099.0,48.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
183,12,ASE,8526.0,8868.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
184,1,ATL,259166.0,327669.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
185,2,ATL,374061.0,450651.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
186,3,ATL,515194.0,585928.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
187,4,ATL,332350.0,341694.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
188,5,ATL,156365.0,187734.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
189,6,ATL,403970.0,405712.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
190,7,ATL,769368.0,777681.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
191,8,ATL,343524.0,446159.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
192,9,ATL,91307.0,127350.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
193,10,ATL,232033.0,250150.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
194,11,ATL,341530.0,296198.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
195,12,ATL,563357.0,509364.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
196,1,ATW,8528.0,6503.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
197,2,ATW,11977.0,10228.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
198,3,ATW,8602.0,7320.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
199,4,ATW,5661.0,4326.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
200,5,ATW,719.0,1114.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
201,6,ATW,4690.0,6128.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
202,7,ATW,-410.0,1276.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
203,8,ATW,314.0,1645.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
204,9,ATW,79.0,987.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
205,10,ATW,-1531.0,318.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
206,11,ATW,659.0,2189.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
207,12,ATW,11601.0,9330.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
208,1,AUS,20660.0,26593.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
209,2,AUS,25792.0,33638.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
210,3,AUS,47646.0,51801.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
211,4,AUS,26020.0,27112.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
212,5,AUS,26510.0,33996.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
213,6,AUS,50434.0,45401.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
214,7,AUS,28604.0,34364.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
215,8,AUS,25408.0,32277.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
216,9,AUS,-79.0,7745.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
217,10,AUS,4005.0,11614.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
218,11,AUS,2421.0,12796.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
219,12,AUS,37162.0,45581.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
220,1,AVL,2934.0,2768.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
221,2,AVL,2318.0,2608.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
222,3,AVL,1959.0,2787.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
223,4,AVL,847.0,1463.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
224,5,AVL,993.0,1737.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
225,6,AVL,6407.0,6700.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
226,7,AVL,4865.0,5525.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
227,8,AVL,4212.0,5227.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
228,9,AVL,-199.0,2191.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
229,10,AVL,2730.0,3902.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
230,11,AVL,2219.0,3180.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
231,12,AVL,4789.0,4957.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
232,1,AVP,4397.0,4092.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
233,2,AVP,3301.0,2951.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
234,3,AVP,2919.0,3277.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
235,4,AVP,2038.0,2172.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
236,5,AVP,885.0,1076.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
237,6,AVP,3808.0,4312.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
238,7,AVP,2880.0,3438.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
239,8,AVP,-110.0,1016.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
240,9,AVP,-155.0,440.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
241,10,AVP,56.0,639.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
242,11,AVP,493.0,1172.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
243,12,AVP,5504.0,4133.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
244,1,AZO,7187.0,5133.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
245,2,AZO,8874.0,7575.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
246,3,AZO,2194.0,2917.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
