,Month,Dest,ArrDelay,DepDelay,iata,airport,city,state,country,lat,long
30,7,ABQ,22937.0,35796.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
31,8,ABQ,22707.0,34249.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
32,9,ABQ,-3973.0,9852.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
33,10,ABQ,-4003.0,12834.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
34,11,ABQ,-1627.0,12910.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
35,12,ABQ,52517.0,58556.0,ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
36,1,ABY,1304.0,1571.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
37,2,ABY,1156.0,1346.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
38,3,ABY,1575.0,1430.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
39,4,ABY,965.0,863.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
40,5,ABY,335.0,392.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
41,6,ABY,552.0,799.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
42,7,ABY,1981.0,2129.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
43,8,ABY,1656.0,1724.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
44,9,ABY,-61.0,-250.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
45,10,ABY,474.0,106.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
46,11,ABY,742.0,542.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
47,12,ABY,1357.0,1054.0,ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515,-84.19447333
48,1,ACT,2279.0,2603.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
49,2,ACT,1287.0,1411.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
50,3,ACT,2076.0,2200.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
51,4,ACT,1258.0,1292.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
52,5,ACT,651.0,656.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
53,6,ACT,860.0,1271.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
54,7,ACT,460.0,902.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
55,8,ACT,807.0,1107.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
56,9,ACT,-150.0,373.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
57,10,ACT,-265.0,50.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
58,11,ACT,85.0,459.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
59,12,ACT,1115.0,994.0,ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917
60,1,ACV,9005.0,8561.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
61,2,ACV,5411.0,4975.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
62,3,ACV,1312.0,1059.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
63,4,ACV,321.0,612.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
64,5,ACV,3040.0,3376.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
65,6,ACV,5184.0,4769.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
66,7,ACV,3419.0,3575.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
67,8,ACV,2701.0,3092.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
68,9,ACV,2372.0,1908.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
69,10,ACV,2066.0,1484.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
70,11,ACV,2507.0,2887.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
71,12,ACV,6476.0,5489.0,ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189
72,1,ACY,170.0,411.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
73,2,ACY,52.0,196.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
74,3,ACY,507.0,447.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
75,4,ACY,790.0,551.0,ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667
76,1,ADK,204.0,59.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
77,2,ADK,53.0,-9.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
78,3,ADK,87.0,49.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
79,4,ADK,93.0,-18.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
80,5,ADK,196.0,127.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
81,6,ADK,36.0,76.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
82,7,ADK,-1.0,5.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
83,8,ADK,63.0,131.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
84,9,ADK,70.0,114.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
85,10,ADK,56.0,101.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
86,11,ADK,-83.0,-22.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
87,12,ADK,0.0,36.0,ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306
88,1,ADQ,529.0,602.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
89,2,ADQ,26.0,41.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
90,3,ADQ,42.0,-38.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
91,4,ADQ,-330.0,-98.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
92,5,ADQ,-285.0,186.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
93,6,ADQ,-56.0,180.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
94,7,ADQ,11.0,206.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
95,8,ADQ,18.0,138.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
96,9,ADQ,-227.0,-158.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
97,10,ADQ,255.0,235.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
98,11,ADQ,-96.0,-66.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
99,12,ADQ,1020.0,1074.0,ADQ,Kodiak ,Kodiak,AK,USA,57.74996778,-152.4938553
100,1,AEX,2578.0,2820.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
101,2,AEX,2737.0,2545.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
102,3,AEX,3175.0,3178.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
103,4,AEX,1347.0,1699.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
104,5,AEX,1456.0,1714.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
105,6,AEX,2486.0,2761.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
106,7,AEX,1335.0,1846.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
107,8,AEX,1202.0,1523.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
108,9,AEX,-16.0,360.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
109,10,AEX,-199.0,165.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
110,11,AEX,1248.0,1033.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
111,12,AEX,2856.0,2666.0,AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611
112,1,AGS,2092.0,2867.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
113,2,AGS,2652.0,3067.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
114,3,AGS,3022.0,3582.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
115,4,AGS,2528.0,2206.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
116,5,AGS,1250.0,1629.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
117,6,AGS,868.0,1920.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
118,7,AGS,5709.0,5610.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
119,8,AGS,1557.0,2720.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
120,9,AGS,1315.0,1777.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
121,10,AGS,1148.0,1620.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
122,11,AGS,1651.0,1735.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
123,12,AGS,3071.0,3088.0,AGS,Bush ,Augusta,GA,USA,33.369955,-81.96449611
124,1,ALB,10697.0,14889.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
125,2,ALB,14453.0,17313.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
126,3,ALB,11045.0,17069.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
127,4,ALB,6003.0,10332.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
128,5,ALB,4030.0,9703.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
129,6,ALB,18323.0,21976.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
130,7,ALB,14721.0,18370.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
131,8,ALB,11102.0,14552.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
132,9,ALB,2498.0,5803.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
133,10,ALB,114.0,4270.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
134,11,ALB,1483.0,5519.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
135,12,ALB,14221.0,17945.0,ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861
136,1,ALO,11.0,40.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
137,2,ALO,30.0,-19.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
138,3,ALO,-34.0,-46.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
139,4,ALO,168.0,163.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
140,5,ALO,-87.0,-11.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
141,6,ALO,288.0,341.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
142,7,ALO,383.0,507.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
143,8,ALO,366.0,516.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
144,9,ALO,42.0,235.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
145,10,ALO,-139.0,92.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
146,11,ALO,690.0,551.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
147,12,ALO,458.0,240.0,ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361
148,1,AMA,3733.0,5814.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
149,2,AMA,6037.0,8022.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
150,3,AMA,7152.0,9003.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
151,4,AMA,4495.0,5800.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
152,5,AMA,5544.0,7474.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
153,6,AMA,8238.0,10207.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
154,7,AMA,3298.0,6591.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
155,8,AMA,4354.0,6790.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
156,9,AMA,-790.0,2670.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
157,10,AMA,2768.0,3950.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
158,11,AMA,1221.0,2716.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
159,12,AMA,9036.0,9813.0,AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272
160,1,ANC,12088.0,14741.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
161,2,ANC,7407.0,9090.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
162,3,ANC,7165.0,10026.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
163,4,ANC,9549.0,9914.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
164,5,ANC,14205.0,11925.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
165,6,ANC,16821.0,21977.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
166,7,ANC,21639.0,23024.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
167,8,ANC,16121.0,22718.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
168,9,ANC,4224.0,8560.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
169,10,ANC,3121.0,7206.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
170,11,ANC,3405.0,8359.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
171,12,ANC,28593.0,25624.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
172,1,ASE,9329.0,7523.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
173,2,ASE,8855.0,7712.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
174,3,ASE,8456.0,7977.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
175,4,ASE,-499.0,462.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
176,5,ASE,-14.0,873.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
177,6,ASE,3397.0,3420.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
178,7,ASE,3259.0,3435.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
179,8,ASE,3182.0,3329.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
180,9,ASE,951.0,1605.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
181,10,ASE,280.0,951.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
182,11,ASE,-448.0,249.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
183,12,ASE,9200.0,10011.0,ASE,Aspen-Pitkin Co/Sardy ,Aspen,CO,USA,39.22316,-106.868845
184,1,ATL,208002.0,251861.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
185,2,ATL,411033.0,368521.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
186,3,ATL,532344.0,469315.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
187,4,ATL,266485.0,265568.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
188,5,ATL,86722.0,142624.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
189,6,ATL,287492.0,342107.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
190,7,ATL,686158.0,666228.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
191,8,ATL,321622.0,369739.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
192,9,ATL,48005.0,88584.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
193,10,ATL,214150.0,199324.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
194,11,ATL,318074.0,259930.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
195,12,ATL,595742.0,492134.0,ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
196,1,ATW,5517.0,5728.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
197,2,ATW,7413.0,6960.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
198,3,ATW,7743.0,8319.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
199,4,ATW,5712.0,5403.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
200,5,ATW,2527.0,3103.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
201,6,ATW,6405.0,6251.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
202,7,ATW,3239.0,3784.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
203,8,ATW,1461.0,3036.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
204,9,ATW,1768.0,3413.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
205,10,ATW,584.0,1623.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
206,11,ATW,1700.0,1874.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
207,12,ATW,12133.0,10302.0,ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556
208,1,AUS,32853.0,45299.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
209,2,AUS,39344.0,48674.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
210,3,AUS,53100.0,63495.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
211,4,AUS,30926.0,40518.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
212,5,AUS,39611.0,44843.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
213,6,AUS,53871.0,64438.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
214,7,AUS,41696.0,56093.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
215,8,AUS,42567.0,54482.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
216,9,AUS,74.0,16577.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
217,10,AUS,2912.0,17720.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
218,11,AUS,4346.0,17698.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
219,12,AUS,54035.0,64076.0,AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
220,1,AVL,828.0,2521.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
221,2,AVL,2364.0,3165.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
222,3,AVL,3639.0,4614.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
223,4,AVL,2044.0,2981.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
224,5,AVL,-473.0,1506.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
225,6,AVL,6085.0,6678.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
226,7,AVL,7163.0,7545.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
227,8,AVL,6880.0,7800.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
228,9,AVL,-69.0,1533.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
229,10,AVL,1537.0,3122.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
230,11,AVL,1043.0,2945.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
231,12,AVL,4430.0,5159.0,AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556
232,1,AVP,3167.0,3841.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
233,2,AVP,3973.0,4567.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
234,3,AVP,2799.0,3737.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
235,4,AVP,3278.0,3620.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
236,5,AVP,923.0,1682.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
237,6,AVP,3430.0,4038.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
238,7,AVP,3677.0,4098.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
239,8,AVP,357.0,1368.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
240,9,AVP,-296.0,686.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
241,10,AVP,-901.0,671.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
242,11,AVP,979.0,1445.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
243,12,AVP,5958.0,6243.0,AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.7242675
244,1,AZO,4673.0,4044.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
245,2,AZO,5882.0,4919.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
246,3,AZO,2094.0,3094.0,AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.5520575
